Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77028,54.0,22.0,99.0,63.0,121.0,257.0,174.0,517.0,587.0,559.0,323.0,386.0,144.0,195.0,120.0,24.0,0.0,21.0,0.0,11.0,0.0,0.0,0.0,6.0
77029,153.0,17.0,17.0,83.0,39.0,38.0,102.0,312.0,392.0,603.0,492.0,471.0,418.0,189.0,15.0,55.0,18.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0
77030,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,35.0,72.0,25.0,55.0,87.0,93.0,43.0,84.0,86.0,148.0,277.0,590.0,211.0,293.0
77031,0.0,73.0,0.0,10.0,38.0,16.0,0.0,0.0,31.0,28.0,0.0,62.0,476.0,981.0,481.0,244.0,64.0,88.0,5.0,8.0,29.0,0.0,0.0,0.0
77032,54.0,12.0,49.0,69.0,63.0,24.0,97.0,39.0,99.0,162.0,133.0,179.0,223.0,29.0,48.0,67.0,28.0,10.0,19.0,0.0,0.0,8.0,0.0,0.0
77033,86.0,82.0,11.0,39.0,60.0,291.0,204.0,684.0,806.0,879.0,922.0,708.0,371.0,192.0,96.0,28.0,8.0,27.0,0.0,7.0,5.0,11.0,0.0,0.0
77034,31.0,40.0,0.0,5.0,0.0,14.0,0.0,56.0,44.0,291.0,597.0,950.0,968.0,1631.0,861.0,220.0,48.0,61.0,64.0,16.0,0.0,26.0,0.0,8.0
77035,10.0,15.0,56.0,64.0,64.0,61.0,8.0,125.0,61.0,277.0,160.0,358.0,167.0,642.0,633.0,667.0,570.0,837.0,458.0,357.0,121.0,20.0,6.0,0.0
77036,36.0,52.0,84.0,93.0,70.0,73.0,83.0,194.0,199.0,97.0,194.0,204.0,361.0,1150.0,1032.0,470.0,171.0,59.0,59.0,51.0,8.0,8.0,9.0,5.0
77037,410.0,61.0,131.0,19.0,23.0,58.0,28.0,68.0,169.0,221.0,340.0,324.0,479.0,462.0,158.0,163.0,0.0,91.0,69.0,0.0,16.0,7.0,28.0,0.0
77038,77.0,73.0,155.0,46.0,60.0,107.0,0.0,26.0,72.0,371.0,526.0,713.0,430.0,683.0,369.0,157.0,8.0,27.0,0.0,0.0,0.0,0.0,20.0,0.0
77039,95.0,77.0,29.0,60.0,30.0,35.0,34.0,84.0,318.0,452.0,552.0,776.0,585.0,666.0,288.0,101.0,9.0,26.0,62.0,11.0,6.0,16.0,0.0,0.0
77040,48.0,49.0,31.0,23.0,11.0,20.0,10.0,70.0,118.0,370.0,354.0,958.0,725.0,2011.0,975.0,1075.0,550.0,938.0,483.0,173.0,30.0,26.0,0.0,9.0
77041,217.0,107.0,156.0,61.0,122.0,112.0,19.0,90.0,109.0,78.0,163.0,637.0,505.0,1694.0,968.0,710.0,418.0,551.0,368.0,955.0,624.0,349.0,19.0,34.0
77042,4.0,0.0,70.0,16.0,21.0,17.0,76.0,283.0,148.0,282.0,115.0,108.0,115.0,380.0,256.0,308.0,178.0,820.0,390.0,830.0,384.0,174.0,74.0,95.0
77043,26.0,22.0,22.0,0.0,0.0,12.0,6.0,67.0,99.0,173.0,195.0,314.0,186.0,877.0,684.0,663.0,564.0,549.0,257.0,136.0,12.0,0.0,0.0,0.0
77044,125.0,154.0,120.0,169.0,62.0,115.0,10.0,175.0,280.0,261.0,266.0,521.0,454.0,1119.0,355.0,687.0,750.0,877.0,631.0,507.0,285.0,63.0,0.0,101.0
77045,71.0,23.0,63.0,0.0,67.0,36.0,29.0,154.0,437.0,790.0,789.0,1319.0,1077.0,901.0,227.0,145.0,87.0,47.0,7.0,89.0,10.0,0.0,0.0,0.0
77046,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,36.0,13.0,42.0,30.0,51.0,28.0,63.0,0.0,0.0
77047,28.0,180.0,9.0,50.0,0.0,16.0,29.0,153.0,295.0,352.0,396.0,606.0,616.0,1471.0,939.0,416.0,159.0,52.0,26.0,33.0,0.0,12.0,25.0,0.0
77048,9.0,12.0,35.0,38.0,13.0,54.0,64.0,296.0,153.0,441.0,524.0,658.0,254.0,392.0,250.0,144.0,0.0,30.0,0.0,47.0,0.0,0.0,14.0,7.0
77049,94.0,23.0,15.0,24.0,11.0,121.0,12.0,105.0,207.0,477.0,668.0,631.0,506.0,953.0,731.0,709.0,246.0,216.0,201.0,98.0,19.0,24.0,0.0,0.0
77050,33.0,55.0,0.0,0.0,25.0,66.0,22.0,76.0,71.0,97.0,90.0,144.0,61.0,84.0,16.0,0.0,41.0,25.0,39.0,0.0,0.0,0.0,0.0,0.0
77051,23.0,95.0,61.0,57.0,75.0,132.0,104.0,339.0,249.0,233.0,235.0,185.0,54.0,197.0,102.0,14.0,8.0,41.0,0.0,0.0,0.0,7.0,0.0,0.0
77054,0.0,24.0,0.0,0.0,21.0,8.0,61.0,103.0,39.0,131.0,78.0,158.0,49.0,320.0,198.0,102.0,168.0,183.0,162.0,33.0,0.0,0.0,0.0,0.0
77055,72.0,0.0,10.0,0.0,26.0,49.0,59.0,130.0,72.0,172.0,113.0,95.0,502.0,615.0,562.0,367.0,157.0,339.0,363.0,827.0,672.0,798.0,297.0,116.0
77056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,4.0,0.0,56.0,80.0,107.0,108.0,94.0,90.0,272.0,232.0,490.0,422.0,698.0,660.0,954.0
77057,7.0,0.0,10.0,0.0,0.0,0.0,0.0,74.0,33.0,83.0,94.0,233.0,274.0,524.0,513.0,775.0,370.0,731.0,312.0,475.0,454.0,1086.0,223.0,438.0
77058,0.0,12.0,0.0,0.0,0.0,0.0,16.0,60.0,126.0,75.0,90.0,100.0,133.0,286.0,370.0,493.0,266.0,496.0,173.0,117.0,17.0,25.0,0.0,14.0
77059,43.0,17.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,12.0,18.0,26.0,222.0,424.0,468.0,642.0,1137.0,686.0,1262.0,289.0,321.0,106.0,51.0
77060,110.0,9.0,68.0,30.0,0.0,58.0,0.0,89.0,58.0,160.0,449.0,520.0,420.0,793.0,193.0,81.0,14.0,0.0,13.0,0.0,0.0,0.0,13.0,57.0
77061,0.0,14.0,58.0,0.0,14.0,22.0,29.0,42.0,19.0,170.0,216.0,345.0,170.0,772.0,573.0,327.0,103.0,98.0,39.0,38.0,0.0,0.0,0.0,0.0
77062,0.0,88.0,0.0,14.0,0.0,0.0,0.0,23.0,55.0,22.0,133.0,35.0,85.0,957.0,1677.0,1983.0,1073.0,603.0,376.0,467.0,127.0,26.0,23.0,7.0
77063,17.0,0.0,10.0,0.0,0.0,33.0,6.0,93.0,111.0,264.0,305.0,247.0,183.0,447.0,148.0,480.0,276.0,403.0,417.0,564.0,246.0,180.0,136.0,158.0
77064,0.0,74.0,0.0,37.0,85.0,31.0,76.0,20.0,54.0,166.0,574.0,617.0,888.0,1781.0,1586.0,1802.0,679.0,860.0,355.0,104.0,23.0,18.0,11.0,14.0
77065,42.0,6.0,25.0,0.0,0.0,20.0,37.0,0.0,0.0,20.0,28.0,299.0,379.0,1887.0,1231.0,1102.0,805.0,492.0,327.0,139.0,89.0,40.0,19.0,35.0
77066,39.0,36.0,13.0,48.0,12.0,0.0,0.0,12.0,144.0,205.0,570.0,701.0,687.0,1449.0,1346.0,851.0,238.0,174.0,28.0,69.0,0.0,0.0,18.0,8.0
77067,12.0,44.0,38.0,27.0,31.0,32.0,0.0,34.0,62.0,198.0,428.0,676.0,906.0,976.0,274.0,212.0,28.0,13.0,13.0,0.0,0.0,5.0,0.0,0.0
77068,0.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,42.0,68.0,341.0,335.0,575.0,267.0,247.0,99.0,174.0,136.0,23.0,30.0,0.0
77069,13.0,7.0,18.0,14.0,13.0,0.0,0.0,57.0,104.0,166.0,214.0,136.0,75.0,210.0,321.0,527.0,371.0,749.0,492.0,594.0,245.0,300.0,30.0,17.0
77070,67.0,64.0,21.0,12.0,0.0,0.0,39.0,16.0,10.0,57.0,174.0,213.0,562.0,1264.0,1927.0,2233.0,1210.0,1086.0,275.0,173.0,53.0,47.0,11.0,134.0
77071,33.0,34.0,0.0,0.0,0.0,20.0,31.0,69.0,146.0,261.0,173.0,451.0,647.0,1197.0,801.0,640.0,272.0,283.0,170.0,114.0,16.0,46.0,0.0,0.0
77072,34.0,6.0,12.0,54.0,61.0,74.0,65.0,260.0,506.0,756.0,785.0,774.0,1435.0,1900.0,590.0,407.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,53.0
77073,36.0,43.0,33.0,63.0,125.0,63.0,50.0,93.0,60.0,160.0,414.0,571.0,904.0,2229.0,1261.0,300.0,207.0,44.0,14.0,0.0,0.0,0.0,19.0,0.0
77074,44.0,12.0,31.0,48.0,53.0,46.0,63.0,107.0,180.0,219.0,277.0,461.0,607.0,1237.0,588.0,366.0,127.0,178.0,57.0,39.0,0.0,0.0,0.0,31.0
77075,57.0,47.0,62.0,177.0,12.0,40.0,0.0,151.0,93.0,191.0,379.0,522.0,419.0,2128.0,1335.0,676.0,209.0,60.0,20.0,111.0,45.0,43.0,0.0,16.0
77076,58.0,29.0,54.0,54.0,102.0,57.0,13.0,139.0,227.0,574.0,640.0,892.0,724.0,889.0,321.0,153.0,36.0,67.0,0.0,18.0,0.0,6.0,0.0,0.0
77077,0.0,0.0,33.0,22.0,42.0,44.0,0.0,0.0,72.0,13.0,113.0,218.0,160.0,424.0,737.0,1178.0,1089.0,1703.0,1177.0,796.0,420.0,473.0,141.0,40.0
77078,50.0,13.0,18.0,79.0,35.0,114.0,28.0,236.0,328.0,429.0,445.0,427.0,166.0,193.0,18.0,67.0,4.0,15.0,46.0,0.0,0.0,0.0,0.0,12.0
77079,22.0,0.0,0.0,0.0,5.0,65.0,21.0,67.0,20.0,40.0,85.0,153.0,361.0,747.0,364.0,286.0,114.0,361.0,685.0,1927.0,1076.0,964.0,293.0,153.0
77080,104.0,99.0,47.0,8.0,13.0,20.0,66.0,57.0,36.0,171.0,188.0,348.0,315.0,1200.0,950.0,915.0,482.0,461.0,87.0,36.0,96.0,34.0,7.0,32.0
77081,0.0,4.0,0.0,21.0,0.0,23.0,10.0,17.0,4.0,29.0,0.0,15.0,20.0,104.0,124.0,4.0,48.0,105.0,144.0,111.0,53.0,11.0,58.0,13.0
77082,30.0,32.0,6.0,0.0,0.0,9.0,0.0,2.0,46.0,269.0,227.0,461.0,935.0,1844.0,1001.0,574.0,343.0,644.0,454.0,168.0,79.0,157.0,95.0,197.0
77083,145.0,101.0,27.0,0.0,13.0,0.0,0.0,184.0,75.0,414.0,355.0,1354.0,1785.0,3892.0,2775.0,1889.0,805.0,568.0,49.0,20.0,0.0,11.0,0.0,23.0
77084,132.0,50.0,35.0,14.0,0.0,0.0,38.0,0.0,55.0,273.0,484.0,1348.0,2255.0,5202.0,4018.0,2737.0,996.0,1184.0,239.0,346.0,57.0,0.0,0.0,0.0
77085,41.0,26.0,33.0,0.0,23.0,8.0,19.0,0.0,89.0,114.0,182.0,271.0,527.0,1176.0,517.0,137.0,80.0,10.0,17.0,0.0,0.0,0.0,0.0,14.0
77086,28.0,66.0,118.0,10.0,0.0,0.0,5.0,15.0,112.0,242.0,448.0,926.0,1227.0,1169.0,330.0,50.0,18.0,6.0,10.0,0.0,3.0,0.0,0.0,6.0
77087,123.0,23.0,90.0,11.0,34.0,103.0,70.0,196.0,224.0,615.0,1090.0,1152.0,789.0,985.0,382.0,148.0,124.0,67.0,39.0,0.0,0.0,0.0,0.0,0.0
77088,100.0,59.0,71.0,133.0,107.0,216.0,108.0,330.0,261.0,741.0,860.0,1529.0,1989.0,2394.0,738.0,365.0,83.0,118.0,95.0,73.0,6.0,6.0,0.0,6.0
77089,124.0,75.0,23.0,0.0,39.0,31.0,27.0,0.0,42.0,373.0,205.0,799.0,1160.0,3168.0,1938.0,1490.0,575.0,514.0,379.0,121.0,0.0,0.0,0.0,40.0
77090,16.0,0.0,0.0,0.0,0.0,0.0,44.0,68.0,43.0,43.0,157.0,282.0,210.0,352.0,659.0,846.0,205.0,49.0,77.0,0.0,42.0,42.0,25.0,0.0
77091,21.0,10.0,5.0,37.0,28.0,86.0,114.0,109.0,115.0,278.0,400.0,402.0,245.0,503.0,229.0,390.0,136.0,198.0,72.0,61.0,11.0,8.0,0.0,14.0
77092,88.0,13.0,50.0,20.0,0.0,48.0,7.0,93.0,111.0,265.0,230.0,346.0,407.0,763.0,1010.0,1055.0,275.0,362.0,22.0,41.0,59.0,0.0,10.0,29.0
77093,168.0,91.0,140.0,16.0,40.0,147.0,214.0,662.0,759.0,727.0,804.0,980.0,634.0,820.0,193.0,202.0,46.0,58.0,36.0,14.0,9.0,0.0,0.0,12.0
77094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,76.0,54.0,18.0,0.0,9.0,200.0,495.0,551.0,532.0,292.0,261.0,87.0,137.0
77095,19.0,49.0,30.0,70.0,0.0,12.0,0.0,21.0,42.0,26.0,39.0,174.0,545.0,1549.0,3279.0,3646.0,2434.0,2683.0,1258.0,595.0,141.0,63.0,0.0,0.0
77096,0.0,24.0,45.0,0.0,41.0,0.0,10.0,42.0,92.0,40.0,10.0,157.0,56.0,232.0,262.0,627.0,578.0,1421.0,1508.0,1594.0,430.0,344.0,67.0,52.0
77098,13.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,15.0,27.0,58.0,195.0,16.0,114.0,161.0,278.0,668.0,319.0,107.0,222.0
77099,79.0,11.0,85.0,43.0,16.0,39.0,31.0,91.0,71.0,378.0,555.0,1021.0,1470.0,2012.0,404.0,257.0,21.0,25.0,29.0,14.0,0.0,0.0,10.0,22.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,129.0,20.0,8.0,78.0,0.0,77.0,17.0,27.0,21.0,198.0,173.0,225.0,117.0,340.0,308.0,344.0,72.0,146.0,289.0,483.0,149.0,59.0,0.0,0.0
77338,13.0,116.0,23.0,42.0,0.0,0.0,32.0,60.0,218.0,342.0,541.0,708.0,1027.0,1761.0,916.0,591.0,93.0,23.0,46.0,0.0,59.0,6.0,0.0,0.0
77339,47.0,87.0,33.0,8.0,0.0,0.0,12.0,23.0,75.0,62.0,45.0,176.0,438.0,1683.0,2253.0,2173.0,752.0,825.0,476.0,345.0,147.0,245.0,17.0,0.0
77345,39.0,0.0,29.0,0.0,48.0,0.0,22.0,49.0,38.0,18.0,42.0,0.0,17.0,151.0,764.0,792.0,609.0,1641.0,1388.0,1361.0,457.0,548.0,44.0,19.0
77346,51.0,30.0,24.0,5.0,0.0,15.0,21.0,9.0,24.0,94.0,216.0,201.0,625.0,2148.0,3081.0,2883.0,1609.0,1779.0,924.0,648.0,97.0,61.0,33.0,33.0
77373,38.0,14.0,45.0,22.0,21.0,12.0,0.0,134.0,237.0,448.0,994.0,1980.0,1705.0,2980.0,2026.0,1662.0,642.0,528.0,321.0,78.0,15.0,0.0,0.0,0.0
77375,84.0,102.0,48.0,17.0,38.0,152.0,115.0,28.0,50.0,53.0,328.0,319.0,387.0,1177.0,1816.0,1944.0,563.0,793.0,390.0,353.0,95.0,205.0,45.0,19.0
77377,93.0,94.0,19.0,27.0,19.0,26.0,59.0,51.0,61.0,118.0,172.0,232.0,112.0,432.0,739.0,953.0,934.0,1533.0,990.0,693.0,199.0,111.0,58.0,35.0
77379,97.0,50.0,52.0,39.0,0.0,25.0,8.0,31.0,39.0,0.0,76.0,133.0,326.0,2056.0,2093.0,3015.0,2606.0,2773.0,2126.0,2108.0,923.0,403.0,210.0,70.0
77388,105.0,84.0,7.0,33.0,14.0,14.0,0.0,15.0,0.0,103.0,99.0,513.0,432.0,2440.0,2512.0,2255.0,961.0,1785.0,426.0,269.0,50.0,51.0,15.0,58.0
77389,40.0,75.0,88.0,49.0,74.0,62.0,131.0,111.0,89.0,108.0,110.0,107.0,366.0,623.0,770.0,637.0,356.0,801.0,710.0,940.0,457.0,427.0,123.0,72.0
77396,233.0,223.0,179.0,80.0,124.0,69.0,71.0,106.0,371.0,435.0,593.0,705.0,776.0,1458.0,766.0,749.0,399.0,623.0,296.0,428.0,153.0,68.0,57.0,41.0
77401,28.0,0.0,0.0,18.0,8.0,12.0,8.0,8.0,0.0,8.0,8.0,7.0,13.0,25.0,12.0,77.0,53.0,368.0,367.0,624.0,502.0,1309.0,1326.0,645.0
77429,62.0,85.0,65.0,41.0,0.0,39.0,81.0,87.0,31.0,6.0,94.0,151.0,525.0,1846.0,2954.0,3082.0,1773.0,2968.0,2529.0,1834.0,702.0,730.0,178.0,131.0
77433,19.0,0.0,0.0,0.0,13.0,22.0,10.0,0.0,22.0,132.0,410.0,479.0,531.0,1207.0,1971.0,2320.0,1193.0,1798.0,1266.0,1714.0,486.0,235.0,64.0,23.0
77447,33.0,47.0,98.0,57.0,0.0,151.0,35.0,45.0,109.0,201.0,180.0,225.0,135.0,500.0,264.0,291.0,61.0,298.0,270.0,248.0,60.0,79.0,50.0,22.0
77449,85.0,112.0,157.0,148.0,52.0,0.0,24.0,90.0,167.0,416.0,926.0,1420.0,2403.0,6375.0,5054.0,2735.0,620.0,496.0,44.0,57.0,0.0,0.0,0.0,61.0
77450,163.0,67.0,23.0,46.0,32.0,0.0,0.0,0.0,56.0,63.0,28.0,304.0,444.0,2002.0,1892.0,2314.0,1737.0,2944.0,1457.0,2161.0,808.0,542.0,54.0,73.0
77493,90.0,76.0,24.0,42.0,18.0,0.0,0.0,67.0,49.0,68.0,136.0,343.0,214.0,725.0,1135.0,1181.0,547.0,584.0,182.0,203.0,139.0,33.0,0.0,22.0
77502,150.0,132.0,83.0,34.0,52.0,21.0,46.0,110.0,242.0,469.0,794.0,897.0,1197.0,1465.0,675.0,320.0,54.0,6.0,9.0,0.0,7.0,0.0,0.0,9.0
77503,208.0,67.0,89.0,37.0,43.0,0.0,17.0,97.0,201.0,252.0,634.0,701.0,946.0,732.0,230.0,105.0,49.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0
77504,157.0,71.0,83.0,53.0,42.0,53.0,50.0,119.0,141.0,135.0,74.0,212.0,237.0,608.0,442.0,517.0,307.0,247.0,103.0,8.0,19.0,13.0,0.0,26.0
77505,83.0,61.0,32.0,8.0,0.0,0.0,12.0,0.0,11.0,18.0,142.0,52.0,207.0,962.0,807.0,1323.0,912.0,901.0,222.0,146.0,4.0,15.0,8.0,0.0
77506,35.0,14.0,5.0,19.0,31.0,164.0,78.0,386.0,515.0,660.0,645.0,855.0,236.0,216.0,106.0,78.0,46.0,28.0,0.0,0.0,0.0,7.0,12.0,7.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,123.0,75.0,72.0,154.0,130.0,136.0,207.0,843.0,754.0,867.0,617.0,637.0,505.0,908.0,420.0,518.0,122.0,233.0,70.0,45.0,11.0,8.0,12.0,6.0
77521,281.0,124.0,155.0,90.0,90.0,10.0,142.0,278.0,304.0,370.0,546.0,763.0,804.0,2133.0,2050.0,1237.0,647.0,671.0,283.0,207.0,64.0,41.0,0.0,18.0
77530,202.0,81.0,63.0,58.0,94.0,49.0,71.0,215.0,316.0,457.0,684.0,1046.0,882.0,1007.0,255.0,302.0,47.0,88.0,42.0,29.0,18.0,0.0,0.0,27.0
77532,93.0,98.0,33.0,48.0,120.0,222.0,104.0,180.0,192.0,184.0,368.0,275.0,432.0,1394.0,920.0,918.0,431.0,391.0,300.0,138.0,82.0,30.0,15.0,71.0
77536,74.0,135.0,125.0,7.0,0.0,44.0,12.0,44.0,29.0,85.0,202.0,481.0,466.0,1863.0,1617.0,1231.0,598.0,613.0,268.0,222.0,78.0,9.0,0.0,36.0
77547,18.0,13.0,0.0,15.0,0.0,25.0,2.0,112.0,174.0,536.0,282.0,134.0,251.0,145.0,3.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
